customer_id,full_name,country,segment,signup_date
C0001,Cliente 0001,,vip,2023-04-25
C0002,Cliente 0002,,consumer,2023-10-09
C0003,Cliente 0003,,consumer,2023-08-17
C0004,Cliente 0004,,consumer,2023-04-15
C0005,Cliente 0005,,vip,2024-07-12
C0006,Cliente 0006,ES,vip,2024-03-08
C0007,Cliente 0007,ES,consumer,2023-04-06
C0008,Cliente 0008,FR,consumer,2024-06-01
C0009,Cliente 0009,IT,consumer,2024-07-28
C0010,Cliente 0010,FR,vip,2024-07-12
C0011,Cliente 0011,DE,consumer,2024-04-04
C0012,Cliente 0012,IT,corporate,2023-01-07
C0013,Cliente 0013,FR,vip,2024-03-08
C0014,Cliente 0014,PT,corporate,2023-06-09
C0015,Cliente 0015,FR,corporate,2023-04-15
C0016,Cliente 0016,ES,corporate,2023-04-10
C0017,Cliente 0017,PT,corporate,2023-09-28
C0018,Cliente 0018,ES,vip,2024-04-15
C0019,Cliente 0019,IT,consumer,2024-01-23
C0020,Cliente 0020,ES,vip,2023-10-28
C0021,Cliente 0021,IT,corporate,2024-08-14
C0022,Cliente 0022,FR,vip,2023-03-13
C0023,Cliente 0023,ES,vip,2023-08-22
C0024,Cliente 0024,PT,consumer,2023-08-27
C0025,Cliente 0025,ES,corporate,2023-10-12
C0026,Cliente 0026,DE,vip,2024-01-09
C0027,Cliente 0027,FR,corporate,2023-12-30
C0028,Cliente 0028,FR,vip,2023-10-01
C0029,Cliente 0029,ES,vip,2023-06-25
C0030,Cliente 0030,IT,vip,2023-09-08
C0031,Cliente 0031,FR,corporate,2024-01-24
C0032,Cliente 0032,PT,vip,2024-07-24
C0033,Cliente 0033,FR,vip,2023-11-29
C0034,Cliente 0034,ES,consumer,2023-02-02
C0035,Cliente 0035,PT,corporate,2023-10-02
C0036,Cliente 0036,ES,consumer,2024-08-03
C0037,Cliente 0037,PT,consumer,2024-05-26
C0038,Cliente 0038,DE,vip,2024-04-14
C0039,Cliente 0039,FR,corporate,2023-05-23
C0040,Cliente 0040,FR,vip,2024-07-28
C0041,Cliente 0041,IT,corporate,2024-08-21
C0042,Cliente 0042,DE,vip,2024-02-13
C0043,Cliente 0043,PT,consumer,2023-05-22
C0044,Cliente 0044,IT,corporate,2023-04-04
C0045,Cliente 0045,ES,consumer,2023-06-06
C0046,Cliente 0046,FR,vip,2024-03-08
C0047,Cliente 0047,IT,consumer,2024-01-30
C0048,Cliente 0048,DE,vip,2024-04-24
C0049,Cliente 0049,IT,corporate,2024-07-20
C0050,Cliente 0050,ES,vip,2023-04-28
C0051,Cliente 0051,IT,corporate,2023-12-15
C0052,Cliente 0052,ES,corporate,2024-03-21
C0053,Cliente 0053,FR,corporate,2023-01-04
C0054,Cliente 0054,PT,vip,2023-07-02
C0055,Cliente 0055,IT,consumer,2023-11-02
C0056,Cliente 0056,IT,vip,2023-07-23
C0057,Cliente 0057,FR,corporate,2023-06-15
C0058,Cliente 0058,IT,vip,2023-01-01
C0059,Cliente 0059,IT,corporate,2024-05-15
C0060,Cliente 0060,ES,consumer,2024-01-07
