order_id,product_id,qty,unit_price,discount
O00001,P053,3,114.41,0.00
O00002,P016,1,90.86,0.20
O00002,P007,1,16.79,0.05
O00003,P011,4,125.80,0.05
O00003,P023,5,96.95,0.20
O00003,P031,5,164.48,0.15
O00003,P015,2,115.56,0.20
O00004,P019,1,83.08,0.00
O00005,P022,2,222.53,0.00
O00006,P036,1,87.79,0.10
O00007,P046,1,110.66,0.15
O00007,P011,5,222.98,0.00
O00007,P004,1,86.11,0.00
O00007,P027,5,181.89,0.15
O00008,P043,3,77.85,0.00
O00008,P004,4,145.07,0.20
O00008,P032,2,18.34,0.00
O00009,P006,3,206.84,0.15
O00009,P039,4,53.91,0.00
O00009,P014,2,161.35,0.00
O00009,P031,1,80.54,0.05
O00010,P032,3,27.32,0.10
O00010,P025,2,95.89,0.05
O00010,P024,2,114.20,0.00
O00010,P029,4,69.52,0.20
O00011,P037,1,42.02,0.15
O00011,P043,1,25.99,0.00
O00011,P052,5,106.42,0.20
O00012,P036,1,210.99,0.20
O00012,P034,4,241.57,0.15
O00013,P037,2,121.67,0.00
O00013,P026,1,128.00,0.10
O00013,P052,5,170.99,0.10
O00013,P010,1,237.56,0.05
O00014,P011,2,203.06,0.00
O00014,P003,4,24.19,0.15
O00015,P013,2,209.35,0.00
O00015,P021,1,26.31,0.10
O00015,P026,5,84.89,0.00
O00015,P034,4,229.69,0.00
O00016,P008,4,41.65,0.10
O00016,P038,5,190.79,0.00
O00016,P060,1,142.85,0.00
O00016,P051,3,217.52,0.00
O00017,P017,4,165.41,0.10
O00017,P039,4,14.17,0.00
O00017,P026,2,156.46,0.15
O00017,P045,4,14.49,0.00
O00018,P004,4,230.59,0.00
O00018,P002,3,205.25,0.00
O00019,P018,4,215.26,0.15
O00019,P007,2,37.91,0.15
O00019,P029,3,71.00,0.05
O00020,P013,4,56.78,0.20
O00021,P048,4,191.07,0.20
O00021,P024,1,131.23,0.00
O00021,P005,3,178.83,0.05
O00021,P009,5,220.43,0.00
O00022,P013,2,210.05,0.00
O00022,P003,4,17.38,0.00
O00023,P018,3,206.75,0.10
O00023,P026,1,171.88,0.00
O00024,P032,5,114.29,0.20
O00024,P031,5,140.07,0.00
O00024,P011,3,188.49,0.15
O00025,P019,1,99.70,0.00
O00026,P055,2,163.60,0.15
O00026,P014,3,164.63,0.10
O00027,P056,1,121.14,0.00
O00028,P039,1,59.81,0.10
O00028,P052,3,179.61,0.15
O00029,P028,4,213.63,0.05
O00029,P017,2,119.33,0.15
O00029,P034,5,102.29,0.00
O00030,P033,3,142.55,0.10
O00031,P020,1,123.02,0.00
O00031,P018,3,216.06,0.00
O00031,P042,3,51.14,0.10
O00032,P058,1,202.32,0.20
O00032,P052,5,103.99,0.00
O00033,P047,1,165.56,0.00
O00033,P017,4,104.12,0.15
O00034,P038,5,204.91,0.00
O00035,P044,5,161.38,0.05
O00035,P059,3,129.28,0.20
O00036,P054,5,49.37,0.00
O00036,P031,2,186.52,0.15
O00037,P044,3,165.33,0.00
O00037,P023,2,187.32,0.00
O00038,P051,3,96.05,0.10
O00038,P019,4,213.54,0.05
O00038,P004,5,147.17,0.10
O00038,P005,4,222.90,0.10
