OrderId,CustomerId,OrderDate,Status,Channel
O00001,,2024-04-16 20:00:00,paid,app
O00002,,2024-12-04 02:00:00,paid,store
O00003,,2024-03-29 17:00:00,paid,WEB
O00004,,2024-01-02 13:00:00,cancelled,App
O00005,,2024-05-29 01:00:00,cancelled,marketplace
O00006,,2024-12-27 09:00:00,refunded,web
O00007,,2024-02-06 21:00:00,refunded,app
O00008,,2024-11-16 18:00:00,refunded,web
O00009,,2024-08-05 03:00:00,paid,app
O00010,,2024-11-27 04:00:00,paid,store
O00011,,2024-03-13 02:00:00,paid,WEB
O00012,,2024-06-06 19:00:00,paid,App
O00013,CX013,2024-08-12 03:00:00,paid,marketplace
O00014,CX014,2024-12-24 12:00:00,pending,web
O00015,CX015,2024-09-13 17:00:00,cancelled,app
O00016,CX016,2024-02-11 19:00:00,refunded,web
O00017,CX017,2024-06-14 19:00:00,cancelled,app
O00018,CX018,2024-02-16 07:00:00,cancelled,store
O00019,CX019,2024-12-10 08:00:00,refunded,WEB
O00020,CX020,2024-03-30 15:00:00,paid,App
O00021,C0150,2024-05-22 05:00:00,paid,marketplace
O00022,C0249,2024-11-21 15:00:00,paid,web
O00023,C0105,2024-08-28 11:00:00,paid,app
O00024,C0027,2024-06-13 21:00:00,paid,web
O00025,C0178,2024-06-17 13:00:00,cancelled,app
O00026,C0242,2024-05-27 21:00:00,refunded,store
O00027,C0117,2024-10-08 01:00:00,cancelled,WEB
O00028,C0083,2024-06-10 08:00:00,cancelled,App
O00029,C0212,2024-07-25 16:00:00,refunded,marketplace
O00030,C0119,02/12/2024,paid,web
O00031,C0133,28/01/2024,paid,app
O00032,C0161,14/11/2024,paid,web
O00033,C0069,2024-01-27 06:00:00,paid,app
O00034,C0226,2024-05-27 14:00:00,cancelled,store
O00035,C0250,2024-03-03 00:00:00,pending,WEB
O00036,C0080,2024-12-29 05:00:00,pending,App
O00037,C0024,2024-10-09 13:00:00,cancelled,marketplace
O00038,C0243,2024-02-28 14:00:00,cancelled,web
O00039,C0128,2024-11-27 04:00:00,paid,app
O00040,C0070,2024-09-17 22:00:00,paid,web
O00041,C0063,2024-09-04 15:00:00,paid,app
O00042,C0099,2024-10-09 04:00:00,paid,store
O00043,C0192,2024-11-02 16:00:00,paid,WEB
O00044,C0198,2024-02-05 08:00:00,cancelled,App
O00045,C0069,2024-06-23 16:00:00,paid,marketplace
O00046,C0077,2024-05-24 23:00:00,refunded,web
O00047,C0138,2024-03-17 14:00:00,paid,app
O00048,C0142,2024-06-25 10:00:00,paid,web
O00049,C0223,2024-08-21 10:00:00,paid,app
O00050,C0147,2024-12-23 07:00:00,paid,store
O00051,C0012,2024-04-29 13:00:00,paid,WEB
O00052,C0234,2024-08-30 22:00:00,paid,App
O00053,C0203,2024-07-16 21:00:00,paid,marketplace
O00054,C0033,2024-09-10 01:00:00,pending,web
O00055,C0026,2024-02-21 14:00:00,cancelled,app
O00056,C0037,2024-01-08 23:00:00,refunded,web
O00057,C0020,2024-12-01 04:00:00,paid,app
O00058,C0160,2024-05-15 10:00:00,paid,store
O00059,C0219,2024-11-28 02:00:00,paid,WEB
O00060,C0098,2024-12-11 17:00:00,paid,App
O00061,C0228,2024-11-16 22:00:00,paid,marketplace
O00062,C0159,2024-10-04 01:00:00,paid,web
O00063,C0176,2024-04-30 20:00:00,paid,app
O00064,C0024,2024-04-26 23:00:00,cancelled,web
O00065,C0181,2024-02-20 20:00:00,paid,app
O00066,C0178,2024-08-15 05:00:00,cancelled,store
O00067,C0084,2024-01-15 01:00:00,cancelled,WEB
O00068,C0096,2024-05-30 11:00:00,paid,App
O00069,C0136,2024-03-15 07:00:00,paid,marketplace
O00070,C0203,2024-10-16 21:00:00,paid,web
O00071,C0021,2024-03-28 05:00:00,paid,app
O00072,C0062,2024-11-13 21:00:00,paid,web
O00073,C0060,2024-10-25 04:00:00,pending,app
O00074,C0118,2024-11-22 08:00:00,pending,store
O00075,C0231,2024-12-07 00:00:00,cancelled,WEB
O00076,C0140,2024-05-27 21:00:00,cancelled,App
O00077,C0242,2024-02-07 14:00:00,refunded,marketplace
O00078,C0164,2024-10-27 09:00:00,paid,web
O00079,C0117,2024-12-19 08:00:00,paid,app
O00080,C0219,2024-04-11 12:00:00,paid,web
O00081,C0098,2024-02-24 07:00:00,paid,app
O00082,C0180,2024-10-21 09:00:00,paid,store
O00083,C0102,2024-01-12 21:00:00,paid,WEB
O00084,C0222,2024-01-05 18:00:00,paid,App
O00085,C0128,2024-11-06 23:00:00,cancelled,marketplace
O00086,C0206,2024-04-27 19:00:00,cancelled,web
O00087,C0049,2024-04-22 20:00:00,refunded,app
O00088,C0197,2024-12-13 23:00:00,refunded,web
O00089,C0232,2024-11-17 03:00:00,refunded,app
O00090,C0009,2024-06-07 14:00:00,paid,store
O00091,C0233,2024-03-08 02:00:00,paid,WEB
O00092,C0107,2024-06-16 23:00:00,paid,App
